time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
290,425984,104,1466,97.31,0.24,0.6,8.437263488769531,,,,,,,,,,,,,
292,430080,105,1469,93.15,0.26,0.6,8.419812202453613,0.0003,1.4047322161495686,0.2,-0.9715364035218954,0.6134523153305054,0.28180667757987976,-0.02830595767009072,0.07011993,0.36650390625,1040,,,
294,434176,106,1473,99.36,0.23,0.57,8.089532852172852,0.0003,1.8712625108659267,0.2,-0.9989654961973429,0.5309548377990723,0.3266802728176117,-0.021739503112621607,0.069748804,0.362451171875,1050,,,
296,438272,107,1477,102.07,0.23,0.55,7.727840423583984,0.0003,1.2131410881876945,0.2,-0.9947761029005051,0.5586326122283936,0.21398811042308807,-0.03439036831841804,0.077636644,0.3746826171875,1060,,,
298,442368,108,1481,106.07,0.24,0.53,7.5134968757629395,0.0003,1.354975738376379,0.2,-0.8540913842618465,0.46661269664764404,0.22963441908359528,-0.03284558669547551,0.066586375,0.3482421875,1070,,,
300,446464,109,1485,111.65,0.24,0.49,6.8444504737854,0.0003,1.3800793273374439,0.2,-0.8990923531353474,0.42149877548217773,0.14369383454322815,-0.02281492575420998,0.07808359,0.355859375,1080,,,
,450000,,,,,,,0.0003,1.2107375372201203,0.2,-0.915345336869359,0.39217251539230347,0.13981139659881592,-0.02504994451883249,0.07519187,0.357177734375,1090,0.1,-0.01884744130074978,169.85
307,450560,110,1467,115.55,0.26,0.49,7.032635688781738,,,,,,,,,,,,,
309,454656,111,1470,107.62,0.25,0.57,7.96978759765625,0.0003,1.3281405573710798,0.2,-0.9545362867414952,0.44470757246017456,0.23992463946342468,-0.026660467573674396,0.069700144,0.361669921875,1100,,,
311,458752,112,1473,99.6,0.19,0.64,8.833012580871582,0.0003,1.56293227635324,0.2,-0.946202602237463,0.4759705662727356,0.2629387080669403,-0.02035496987227816,0.07153694,0.3580078125,1110,,,
